text,Label
"তোরা নিচে নামতে নামতে এতদূর চলে গেছিস একজন ভাল মানুষকে নিয়ে তোদের এত মাথা ব্যথা, আল্লাহ্ তোদের হেদায়েত দান করুন",Political statement
সেন্ডেল দিয়ে মেরে মুখ ফাটিয়ে দেয়া দরকার,Non-Political Statement
আজ ঐতিহাসিক স্থানটির অবস্থা দেখে মনটা খুবই বিরক্তি অনুভব করলাম!,Non-Political Statement
আল্লাহ আপনি তাকে হিদায়েত করুন,Political statement
জেই জারজ এটা দিয়াচে তার জন্মে বেজাল আচে,Political statement
আল্লাহ হেদায়েত দাও,Non-Political Statement
সময়োপযোগী পদক্ষেপ,Political statement
মিকআপ ছারা চেহারাগুলো দেখেন যারা বিয়ে করতে চান,Non-Political Statement
"নতুন নাস্তুিক...... মিডিয়াই আসলে মনে হয় কি মানুষ  পাগল হয়ে যায় তাদের মধ্যে এ মাগি একটা,   মরার সময় গু খাই না হয় ব্যাথরুমে মরে থাকবি",Non-Political Statement
"বাসা দিয়া বের হওয়া ধরছিলাম,আপনি কইছেন তাই আর বের হইলামনা।বাসাতেই থাইক্কা গেলাম",Non-Political Statement
শালা পতিবন্ধি তুই কই,Political statement
ফলো দিলে ফলো বেক পাবেন,Political statement
"গ্রামের নদীটি এত শান্ত ও সুন্দর ছিল, আমি পুরো সময়টা সেখানে কাটিয়ে এলাম!",Non-Political Statement
সালা তোরা যারা এটা করিস তোরা হলি আসল ইসলামের দুশমন,Political statement
মিথ্যা বানোয়াট আল্লাহর গজব পড়বেই পড়বেই।,Political statement
এখন বুঝতে পারছেন ম্যাডাম কে আপন কে স্বার্থপর বেইমান যাঁরা দল এবং দে-শ কে ভালো বাসেন তাদের কে মুল্যায়ন করবেন দেখবেন পৃথিবীর কোনো শক্তি আপনাকে জেলখানায় একমিনিট ও বন্ধি করে রাখতে পারবেনা। ইনশাআল্লাহ,Political statement
ভাই বিদেশে না করে দেশে এসে আন্দোলন করেন সবচেয়ে ভালো হবে,Political statement
তোমার মুখে জুতার বাড়ি।,Non-Political Statement
"বিদ্যুতের খাম্বাসহ বিদ্যুৎ কেন্দ্র, সরকারের বড় বড় কেনাকাটা- সবই তারেক রহমানের মাধ্যমে হয়েছে। তারেক রহমান ব্যবসায়ী বন্ধুদের মাধ্যমে বিনা প্রতিযোগিতায় সরকারের কোটি কোটি টাকা লুটপাট করেন।",Political statement
নাস্তিক পরিবারের একজন সদস্য।,Non-Political Statement
খুবই ভালো এগিয়ে যান ❤❤,Non-Political Statement
"ফিল্মে অনেকেই হিরো, বাস্তবে আলম রিয়েল হিরো, ভালো মানুষ,",Non-Political Statement
আল্লাহ হেদায়েত দেক,Non-Political Statement
আপনার মতো একজন নেত্রী পটুয়াখালীতে চাই,Political statement
ধন্যবাদ সাহেব,Political statement
"অহ অহ অহ!সাফা কবির নামক এই ময়দা সুন্দরী আপু পরকালে বিশ্বাস করেন না। তিনি আসলে ওই আরকি, মানে যা দেখেন না তা বিশ্বাস করেন না।  আচ্ছা আপু! আপু আপনি তো অক্সিজেন এর সাহায্যে বাচেন!তাই না? তাইলে অক্সিজেন কি কখনো দেখছেন? তাইলে তো এটাও আপনি বিশ্বাস করেন না। আপনি অন্য কিছুর সাহায্যে বাচেন সেটা বিজ্ঞানীদের আবিষ্কার করতে কত বছর লাগবে আল্লাহই জানেন।",Non-Political Statement
ও একটা পিস...নিজের দোষ আরেকজনের উপর চাপানো.... ও শুধু বদ মিথ্যাবাদীই না ও একটা লম্পটও....????,Non-Political Statement
মনে হচ্ছে আমার মন খুবই খারাপ 😟,Non-Political Statement
"তুমি আমার জীবনে এসেছ, আর এর সঙ্গে সঙ্গে আমার জীবনে নতুন আনন্দ এসেছে। প্রতিদিন তোমার সঙ্গে কাটানো সময় আমার জন্য এক অমূল্য মুহূর্ত হয়ে ওঠে। আমি তোমাকে ভালোবাসি, এবং আমাদের এই সম্পর্ককে চিরকাল ধরে রাখতে চাই।",Non-Political Statement
"মিথ্যাবাদি আল্লাহর গজব নাজিল হতে বেশি সময় লাগবে না,",Political statement
ছাগলের কাছে সব পাতাই ঘাস,Non-Political Statement
পাছায় লাত্থি পড়লে তবেই পরম করুণাময়রে মনে পড়ে?,Non-Political Statement
সিরাজগন্জ চলন বিল থেকে শুভেচ্ছা ও অভিনন্দন,Political statement
আমাদের রাজশাহী তে আসার দাওয়াত রইল বাংলাদেশ ছাত্র দল আপনাকে দেখতে চাই আট দশ জন কে নিয়ে আইসেন,Political statement
"জ¦লছে দিল্লি, বাঙালি সাংবাদিকের প্যান্ট খুলে ধর্ম যাচাই। ",Political statement
এটা হল বাংলাদেশের নাস্তিক নাস্তিক এর জন্মদাতা শাহরিয়ার কবিরের মেয়ে তার যেরকম সেরকম ফল তো অবশ্যই হবে সেটা নিয়ে ভাবার কিছু নেই,Non-Political Statement
ওরে বাটপারের দল,Political statement
"মাশাআল্লাহ,, আলহামদুলিল্লাহ,মুক্তি মুক্তি মুক্তি চাই,,গণতন্ত্র মা""এর মুক্তি চাই।",Political statement
মাগির পোলা কি শুরু করলি,Non-Political Statement
"জিতবে আবার নৌকা, জয় বাংলা",Political statement
আফ্রিকার কোন লোকের ধোনটা সব চেয়ে বড় তার খোঁজ চলছে।  পেলে তোমাকে জানাবো ওকে   ,Non-Political Statement
ছি ছি ছি । এসব কারা করে । আল্লাহ্ তুমি হেদায়েত দাও,Political statement
বাজারে গিয়ে অনেক অস্বাভাবিক দাম দেখে আমি প্রচুর রেগে গেছি!,Non-Political Statement
"প্লিজ আমায় একটু হেল্প করেন,একটা মামলার রিপোটের  জন্য মেডিকেলে আবেদন করছি যে ২ মাস হয়েছে,এখনো রিপোট  দিচ্ছেনা,আমি মেডিকেলে যাচ্ছি আপনি আমাকে একটু সাহায্য করেন।",Political statement
বিএমপি জয় হবে ইনশাআল্লাহ,Political statement
প্রিয়জনদের সাথে দুরত্ব তৈরি হচ্ছে | এই দূরত্ব কষ্ট দিচ্ছে,Non-Political Statement
কেউ আমার অনুভূতিগুলো বুঝতে চায় না | একা লাগছে,Non-Political Statement
"আজ সকালে পরিবারের সবাই একসাথে পার্কে গিয়েছিলাম, পুরো দিনটা ভালো লাগলো!",Non-Political Statement
খোদার কসম আল্লাহর গজব আইবো যারা সাইদি সাহেব কে নিয়ে মিথ্যাচার করছো,Political statement
আজ আমি অনেক ভালো লাগছে। সবকিছু যেন ঠিক হয়ে গেছে।,Non-Political Statement
"স্কুলে আজ খুব মজা করলাম, সবাই একসাথে খেলাম!",Non-Political Statement
তোর হুগায় দিমু আগুন খানকি মাগী,Non-Political Statement
আজকের দিনটি খুবই ভাল।,Non-Political Statement
কাল সিটি কর্পোরেশন নির্বাচনে আওয়ামিলীগ উভয় সংকটে পাশ করলে বলবে- ও.. এটা তো জানা ই ছিলো পাশ যে করবে আগের রাতে ইতো জয়ী হয়ে গেছে ইত্যাদি ইত্যাদি....আর ফেল করলে- হাইরে কত চেষ্টা করলো তারপর ও পারলো না পাশ করতে।ভোট চুরি করে ও পারলো না ইত্যাদি ইত্যাদি.... ,Political statement
"ওরে বাপরে! জান নিয়া পালাই, এমনিতেই ৫০% ভোটের অধিকার কেড়ে নিয়েছে আওয়ামীলীগ। ",Political statement
সুন্দর কেও হার মানাবে এই সুন্দরী∆,Non-Political Statement
আজ আমি অনেক রেগে গেছি।,Non-Political Statement
তো চেহারাটা দেখছিস হিজড়া মাতারী...উল্টো পাল্টা কথা বলে আলোচনায় আসতে চাচ্ছিস!!,Non-Political Statement
শেখ হাসিনার ছালাম নিন নৌকা মার্কায় ভোট দিন,Political statement
তোমার সাথে কাটানো সময়টি খুব মজাদার ছিল 😁,Non-Political Statement
আমার ভালবাসার আরেক নাম বিএনপি,Political statement
বাজে,Political statement
গ্রামের বাড়িতে ফিরে এসে অনেক দিন পর আমার প্রিয় খাবারটি খেতে পেয়ে খুব ভালো লাগলো!,Non-Political Statement
"আজ আমি বেনারসের গঙ্গা দর্শন করলাম, ইতিহাসের মাঝে ডুবে গিয়েছিলাম!",Non-Political Statement
"শহরের কোথাও কোনো উন্নয়ন হচ্ছে না, আমি রেগে গেছি!",Non-Political Statement
ফেক এগুলা,Political statement
তুলে নেব আমরা,Political statement
আমি একটা নতুন গান গাইছি | খুব মজা পাচ্ছি। | আমি নিজেকে প্রকাশ করতে পারছি।,Non-Political Statement
বি এন পির জয় হবেই ইনশাল্লাহ মালেশিয়া প্রবাসি,Political statement
আজকের দিনটা আমার জন্য খুবই কষ্টদায়ক। কোনো কিছুই ঠিকঠাক হচ্ছে না।,Non-Political Statement
আজকের দিনটি অনেক আনন্দময় 😊,Non-Political Statement
"আজ বাজারে গিয়ে মনে হলো কোনো প্রকার ব্যবস্থা নেই, সব কিছু এলোমেলো, কোনোও সুসংহত ব্যবস্থা ছিল না, এতে খুব রেগে গেছি!",Non-Political Statement
মাদার অফ চাউল চোর।এই উপাধি টা কে পেলো।,Political statement
"মুস্তাফিজের ইনজুরি সম্পর্কে দেশবাসীকে জানাতে হবে, ভারতের বিরুদ্ধে সবচাইতে বড় অস্ত্র ছির মুস্তাফিজ। ",Political statement
জয় হোক মানবতার জয় বাংলা জয় বঙবন্দু ,Political statement
আজকের দিনটি আমার জন্য দুঃখজনক।,Non-Political Statement
বাংলাই বলতে পারে না,Non-Political Statement
ইম্রান এইডস সরকারের জাইংগার গন্ধ শুকছে মনে হয়! নাস্তিক শালি। সামনে রোজার মাস। আর কত্ত বড় কথা!!!! এই ঈদে অর কোন নাটক দেখতে চাই না। যে অর সাথে কাজ করবে সেই নাস্তিক,Non-Political Statement
আমেরিকা বসে বসে চাপাবাজি পাবলিক বুজেগেছে.....,Political statement
মাশাআল্লাহ,Political statement
করবি কিভাবে তর বাপ মা ইতো বিশ্বাস করেনা,Non-Political Statement
অলি অলি হেতে অলি,Political statement
জুতা দিব,Political statement
সহমত পোষণ করছি মামা,Political statement
"নাস্তিকঃ যা দেখা যায়না, তা আমরা বিশ্বাস করিনা।আমিঃতাইলে এখন গ্লাভস,মাস্ক,সেনিটাইজার ব্যাবহার করোছ কেন..?",Non-Political Statement
খবিশ তোর মার কন্ঠ এটা,Political statement
তুমি কুওার বাচ্চা। এইটা ছাইদির কন্ট। পাগল,Political statement
সঠিক পদক্ষেপ৷,Political statement
ভালো কিন্তু শিক্ষা নিতে হবে ভুল থেকে এই রকম ফাতরামি আর যেন না হয়। বাংলাদেশের ৯৫% মুসলমান ধর্ম নিয়ে বারাবাড়ি কেউ না করি।,Non-Political Statement
কবে নিলামে তুলবেন জানিয়ে দিলে ভাল হয় ভাই।,Non-Political Statement
তোর বাপে তোরে জন্ম দিছে নাকি গাছ ফেরে হইছস তা জানছ নাকি সেইটাও জানছ না। ভন্ড হালায়... পাগল।,Non-Political Statement
ওরে সালা মানুষের কন্ঠ নকল করা এখন।। খুব সহজ,Political statement
অফ যান এইবার ,Non-Political Statement
তাই চাউল চোর,Political statement
"কুলাঙ্গারনামা, একানে এসকল কুলাঙ্গারদের ধর্ম বিরোধী মতামত দেয়া হলো। ",Political statement
"পরিবারে এক অস্বস্তিকর পরিস্থিতি তৈরি হয়েছে, মনটা খুব খারাপ!",Non-Political Statement
হাসিনা তুই চিন্তা করিছ না একবার আসতে দে তার পর দেখতি পারবি খেলাটা,Political statement
ঠিক বলেছেন,Political statement
জাতিসংঘে মিয়ানমারের মিথ্যাচার। এ মিথ্যাচার শেষ হবার নয়।,Political statement
জয়বাংলা জয় বঙ্গবন্ধু,Political statement
দেশের ক্রাইসিস টাইমে মাননীয় প্রধানমন্ত্রী  শেখ হাসিনার নির্দেশে  সর্বদা জনগণের পাশে আছে ছাত্রলীগ ,Political statement
জিতবে আবার নৌকা,Political statement
"চেহারা দিয়ে কিছু হয় না,জায়েদ নামটা প্রথম শুনলাম, হয়তো আমি সিনেমা কম দেখি তাই,আর হিরো আলমকে আপনার চিনতে হবে না। আমরা যারা নাটক দেখি আমরা চিনি। আসলে জনগন যাকে খায় সেই নায়ক, আর যাকে খায়না সে -----। অভিনয় জানলে চেহারা কোন ফ্যাক্টর না। ওনার এমন একখান ভাব মুই কি হনু রে।",Non-Political Statement
"আজকের দিনটা সত্যিই অসাধারণ কেটেছে, পরিবারের সবার সাথে অনেক আনন্দঘন সময় কাটিয়েছি!",Non-Political Statement
"ভাই রে ভাই,  এই শিশির কিভাবে 2 দিনের মধ্যে শুকায় যায় ",Non-Political Statement
"আজ বাজারে গিয়ে বেশ কিছু গুরুত্বপূর্ণ জিনিস পেয়েছি, সত্যিই খুশি হলাম!",Non-Political Statement
সবকিছু চমৎকারভাবে চলছে।,Non-Political Statement
"নদীর পানি এত দূষিত, আমি সত্যিই রেগে গেছি!",Non-Political Statement
আচোদা ,Non-Political Statement
আমি আজকের জন্য খুবই হতাশ।,Non-Political Statement
পক্ষ বিপক্ষ লোক না থাকলে খেলা সুন্দর হয় না,Political statement
ওরে সবাই আনলাইক করে বুঝাই দেন ।,Non-Political Statement
মিনাল ভাই কেমন আছেন,Non-Political Statement
আরে বেডা দেশে আয় দূরে বসে কি বক মারছ,Political statement
পরেও মাগীর ঘরের মাগীরা,Non-Political Statement
মুখে মুখে না বলছে রাস্তায় নামুন তবে বুঝুম,Political statement
চোপ,Non-Political Statement
ঈদ মোবারক ভাই ও ভাবী ,Non-Political Statement
"দেশের উন্নয়ন চাই,  নেতা চাই না সৎ লোক চাই?",Political statement
উনাকে যতো অপমান করার চেষ্টা করবেন আল্লাহ উনাকে ততো সম্মানিত করবেন। ইনশাআল্লাহ,Political statement
"এই ছাগলকে সারা বিশ্ব চেনে,হিরো আলম তোর পাচা দিয়ে আইক ওয়ালা বাঁশ ঢুকানো দরকার মাদারচুদ ।",Non-Political Statement
"সাফার উদ্দেশ্যে-->আরিফ আজাদের লেখা মনে পড়ে গেল""আপনি কি আপনার মা-বাবাকে যৌণ সঙ্গম করতে দেখেছেন?না দেখে কিভাবে উনাদেরকে মা  বাবা মেনে নিচ্ছেন??আপনার মা কে জিজ্ঞাস করে নিয়েন যাকে আপনি বাবা ডাকছেন উনি আপনার আসল বাবা কিনা,নাকি অন্য কেউ আছে??কারণ আপনিতো না দেখে কিছু বিশ্বাস করেন নাহ।",Non-Political Statement
আজ আমি অনেক কষ্ট পাচ্ছি।,Non-Political Statement
ছেলুট আপনাকে,Non-Political Statement
তুমি দুবাই ঘরোয়া কোন আমন্তনে আসব।,Non-Political Statement
ভোটের আগে ভালোই জরিপ হইসে!,Political statement
"শেখ হাসিনা'র জন্য, বাংলাদেশ ধন্য।জয় বাংলা, জয় বঙ্গবন্ধু।",Political statement
কত বছর নাগাদ আন্দোলন ৫ বছর,Political statement
অবশ্যই ঠিক।তবে রতনে রতন চিনলেওসাধারন জনগন সৎ যোগ্য ও নির্ভরযোগ্য প্রার্থী চিনতে ভুল করবেনা আশাকরি।,Political statement
ভোট হয়নি হয়েছে ভোট ডাকাতি,Political statement
চুলটা বেধে রাখলে আরও সুন্দর লাগত।।,Non-Political Statement
আমি খুব হতাশ 😞,Non-Political Statement
"হাসিনা ইলিশ পাঠালেই, পেঁয়াজ বন্ধ করে মোদী। ",Political statement
রাজা,Political statement
আমি একটি সুন্দর দিনের অপেক্ষায় আছি | খুব উত্তেজিত।,Non-Political Statement
রুমিন ফারহানা আপা আসলামুআলাইকুম আমি বিম্পির ভক্ত তবে কিছুটা সাপোর্ট করবেন তবে একটা জিনিস জেনে রাখবেন কখনো ভুলে যাবেন না রক্ত দিয়েছি আরো দেবো পল্টন,Political statement
"চিঠির মাধ্যমে জানা গেলো যে, কেউ আর জীবিত নেই, এটি সত্যিই আমাকে কষ্ট দিয়েছে!",Non-Political Statement
"কুত্তার বাচ্চা দেশে এসে কথা বল, তোর জিব্বা টেনে ছিড়ে ফেলবো",Political statement
ইয়াবা খেয়ে খেয়ে করছে কি........,Non-Political Statement
মনটা কেমন ভারী ভারী হাসির চেয়ে কান্না বেশি আসছে।,Non-Political Statement
অহংকার পতনের মূল,Political statement
আজকে নতুন কিছু শিখলাম | শেখার আনন্দই অন্যরকম,Non-Political Statement
অাপ‌নি মুফ‌তি হই‌লেন কেম‌তে? যেখা‌নে একটা মানু‌ষের ম‌নের ভাষা বু‌ঝেন না? শালার বলদ‌দের কার‌নে অাজ ইসলা‌মের এই  অবস্থা । মহান রব যেন সবাই‌কে হেদা‌য়েত দেয় ।,Non-Political Statement
নেতার প্রচার মঞ্চে উঠে চরম বিপাকে বাংলাদেশি অভিনেতা ফেরদৌস।,Political statement
আওয়ামী লীগই একমাত্র মানুষের পাশে ধারানুর দল।,Political statement
তাহলে তো আল্লাহর সৃষ্টিকর্তাও থাকতে হয়?,Non-Political Statement
আজকের দিনটা আমার জন্য খুবই আনন্দপূর্ণ।,Non-Political Statement
তারেক ২১শে আগস্ট গ্রেনেড হামলা করে দেশরত্ন জননেত্রী শেখ হাসিনাকে হত্যা করতে চেয়েছিলো,Political statement
চমৎকার সব সময়,Non-Political Statement
"শহরের রাস্তা এত ভাঙাচোরা, আমি খুব বিরক্ত!",Non-Political Statement
আছি জিয়া আপনার ভয় নাই,Political statement
আমার মনটা আজ খুবই হালকা লাগছে।,Non-Political Statement
কুরআন অবমাননাকারী তোর বিচার হবেই। আমরা জানি কুত্তার বাচ্চা কুত্তাই হয়।,Non-Political Statement
ব্রো তুমি সেই বাইঞ্চোতটা না ? যে সকালে বয়কট ফ্রান্স বলে রাতে ফ্রান্স ওয়েব থ্রি এক্সে ঢোকে।,Political statement
ফিলিং.....'করোনা মুড',Non-Political Statement
আপনার শীর্ষ হতে চাই আমি আপনার ভক্ত গাজীপুর শ্রীপুরের আসাদ প্রধান আপনার হুকুমের গোলাম না হতে পারলে প্রয়োজনে আত্মহত্যা করে মরে যাব আপনার শীর্ষ,Political statement
ভালবাসা নিও,Non-Political Statement
এই সব হলুদ মিডিয়া খানকির পোলাদের জন্ম হইছে রাস্থায়,Political statement
আল্লাহ তোমার কাছে বিচার দিসেএএএএ.....তবে হেতি কিন্তু নাস্তিক.....,Non-Political Statement
হাসিনা।তোকেও।পোরাতে।হবে,Political statement
বিএনপি’র অভ্যন্তরে তাঁর নেতৃত্বকে কেন্দ্র করে দ্বিধাদন্ধ রয়েছে। তারেক জিয়ার ব্যক্তিগত চরিত্রেও রয়েছে বহু কলংকের চিহ্ন।,Political statement
পম পম,Political statement
সঠিক সময় সঠিক পদক্ষেপ নেওয়া দেশ ও জাতির জন্য অত্যন্ত গুরুত্বপূর্ণ ভূমিকা। ধন্যবাদ মাননীয় প্রধানমন্ত্রী।,Political statement
"ফর্সা মানেই যদি সুন্দর হইতো, তাইলে কাচ্চির চাইতে ভাতের দাম বেশি হইতো!",Non-Political Statement
সশস্ত্র বাহিনীর জন্য সবই করব। ঠিক এইভাবে হত্যার মাধ্যমে।,Political statement
পুরান পাগলে ভাত পায় না নতুন পাগলের আমদানি।,Non-Political Statement
"আজকের আন্তর্জাতিক ফুটবল ম্যাচে আমাদের দলের জয়ের পর সবাই খুব আনন্দিত, স্টেডিয়ামে উল্লাস ছিল!",Non-Political Statement
আপনার ভিডিও টা দেখে একাট বরিশালের ভাই বল্লো আওয়ামী পুলিশলীগ বাড়ি বাড়ি গিয়ে দেখতেচে কারো বাড়ি মেহেমান আছে নাকি আমরা কুমিল্লার ছেলেরা আছে,Political statement
এটি সত্যিই আমাকে বিরক্ত করেছে 😠,Non-Political Statement
আপনি আমাদের তারন্যের অহংকার লিডার,Political statement
নাস্তিক এর বাচ্চা।  মুখে আবার আল্লাহ পাক এর নাম। ফেসবুক হ্যাক হয়ছে তো তোর জারজ বাপের কাছে বিচার দে শয়তান।,Non-Political Statement
বি এন পি,Political statement
কোনো কিছু ঠিক মতো চলছে না,Non-Political Statement
এনডিয়াৱ দালাল,Political statement
"সবকিছু যেমন পরিকল্পনা করা হয়েছিল, তেমনই চলছে।",Non-Political Statement
এই মিথ্যাবাদি পতিতা দেশের ভাবমূর্তি নষ্ট করছে। তার বিচার দাবি করছি।,Non-Political Statement
তোমাকে ভালোবাসি বস,Political statement
তোর মা ছিলো অসভ্য । তাই তুইও হইছিস খানকি,Non-Political Statement
আজ আমি অনেক রাগ অনুভব করছি।,Non-Political Statement
জায়েদ খাঁন এটা কে?আমি বাকি তিনজন কে চিনি কিন্তু এই জায়েদ খাঁন মালটারে চিনলাম না।,Non-Political Statement
ওকে ছোট ভাই,Non-Political Statement
তোর মার কাছে আমার প্রশ্ন হলো তোর মতো নাস্তিকের এ নাম রাখলো কেনো। তোর মত দেহ ব্যবসায়ী নারী পরকাল বিশ্বাস না করলেও এতে আমার মহান রাব্বুল আলামীনের কোন ক্ষতি হবে না।,Non-Political Statement
পিলখানা হত্যাকান্ডের অভিযোগ থেকে খালাস পেলেন তোরাব আলী।,Political statement
সুপ্রিয় দেশবাসী!সম্মানিত অধ্যক্ষ জনাব সিরাজুদ্দৌলা যদি আপনাদের কারো ফ্রেন্ডলিস্টে থেকে থাকেন তাহলে উনাকে মেনশন করার উদাত্ত আহ্বান জানাচ্ছি...!,Non-Political Statement
"বাইক চালিয়ে বাসায় আসতেছিলাম আর পোস্ট টা চোখে পড়লো, কন্টোল হারিয়ে হাসতে হাসতে খাদে পড়ে গেলাম,,, উদ্ধারকারীরা আসলো তারাও পোস্টটা দেখলো,,, তারাও হাসতে হাসতে খাদে পড়ে গেল,,,,, প্লিজ কেউ আমাদের বাচান।",Political statement
"এই নাটকটি এত কষ্টকর ছিল, শেষে খুব খারাপ লাগছিল!",Non-Political Statement
"গ্রামের সব কিছু এলোমেলো হয়ে গেছে, আমি সত্যিই ক্ষিপ্ত!",Non-Political Statement
"বৃটিশদের গোলামী করেও তবু ইংরেজী শিখেছে, পেনাল কোড পেয়েছে, মোঘলদের গোলামী করলে এখনও নেংটি পরেই দিন কাটাতে হতো। ",Political statement
নাস্তিক মাদারচোদ.তোর মার পেটে তোরে বড় করছিল কে জানিসরে চুদানীর পোলা মূর্খ কোথাকার,Non-Political Statement
জামায়াত-শিবিরের কবর রচনা করা হবে - নৌ-পরিবহন মন্ত্রী শাজাহান খান।,Political statement
আলম ভাই পাগল ছাগলের কথায় কান দেবেন না,Non-Political Statement
"আল্লাহ ওনাকে এবং দেশের মানুষকে সুস্থ রাখুক """" আমীন""""",Political statement
আহ হা হা।কত বড় জারজ হলে এই সব কথা ইডিড করে।মনে হয় যে এই ভিডিওটা বিনিয়েছে তার মা বাবা ও এমন পরকিয়া করেছে।তা না হলে একজন আলেমের কথা এই ভাবে মিথ্যা ইডিড করে কেমনে।জানোয়ার,Political statement
অপুর্ব,Non-Political Statement
দুধের স্বাদ পেতে হলে ভিডিও দাও,Non-Political Statement
"গ্রামের মধ্যে একেবারে গাছপালা কেটে ফেলা হচ্ছে, আমি রেগে গেছি!",Non-Political Statement
আজকের দিনটা আমার জন্য খুবই আনন্দদায়ক।,Non-Political Statement
"মেয়েদের কমেন্টে লাইক পড়ছে হাজার, শত শত। আমি এত সুন্দর কমেন্ট করলাম আমার কমেন্টের একটাও লাইক নাই। এটা আমার প্রতি অবিচার। আল্লাহ সব দেখেন এবং জানেন আল্লাহ ক্ষমাশীল আল্লাহ এই অবিচারের বিচার করবে",Non-Political Statement
এই ঘটনা আমাকে ক্ষুব্ধ করেছে।,Non-Political Statement
তথ্য বাবা ও কেরামতি জানে,Political statement
তবে ১৪ দিন বন্দো থাকলে অনেক ভালো হতো,Political statement
এটি সত্যিই আমাকে আনন্দিত করেছে 😄,Non-Political Statement
খা‌লেদা মারা গে‌ছে না‌কি?,Political statement
হাসিমুখে পোজ দিয়ে বিএসএফের হাতে নিহত দুই অভাগা বাংলাদেশির লাশ গ্রহণ করছে আমাদের সীমান্ত রক্ষী বাহিনীর বীর অফিসার।,Political statement
মানুষ কতো নিছে লামলে একজন প্রখ্যাত আলেমের উপর মিথ্যা বলতে পারে আল্লাহ তাকে হেদায়েত দান করুন আমিন।,Political statement
"বাংলাদেশ ইসলামী ছাত্র শিবির, নীলফামারী জেলা পক্ষ হতে জানাই যুক্ত রাজ্য বিএনপি কে স্বাগতম",Political statement
"আজ বাজারে গিয়ে নতুন কিছু কিনলাম, যা অনেক দিন ধরেই খুঁজছিলাম। আর মিষ্টি সব ফল-সবজি দেখে মনটা ভালো হয়ে গেল!",Non-Political Statement
"জর্ম্মে ত্রুটি থাকলে এমন হয়! এটা তার জন্মগত সমস্যা। আর নাস্তিকের বীর্য থেকে জন্ম নিলে সে কিভাবে আস্তিক হবে। তার পরকালে বিশ্বাস নিয়ে আমাকে আপনাকে টেনশন করার দরকার নাই। দোয়া করি, আল্লাহ সবাইকে হেদায়েত দান করুন। আমীন....",Non-Political Statement
দেশ রত্ন তারেক রহমানকে আল্লাহ পাক নেক হায়াত দান করুন !,Political statement
ভালোবাসা ,Non-Political Statement
হিন্দুদের যে এইভাবে মারা হচ্ছে  দেখছেন না কেন?,Political statement
মিডল...,Non-Political Statement
এর প্রেইজ সবাই আনলাইক দিয়ে দেনআর এর অভিনীত কোনো কিছুই দেখবেন নাগালি গালাচ না একজন মুসলিম হয়ে এটাই করেন কিন্ত সে 100%  নাস্তিক,Non-Political Statement
"এত অসহ্য পরিস্থিতি! আমার প্রাপ্য কিছুই আমি পাচ্ছি না, সবাই শুধু আমাকে বিপদে ফেলে দিচ্ছে।",Non-Political Statement
এ ধরণের পোস্টে সাধারণত কমেন্ট করতে ইচ্ছা করে না। কমেন্ট করলে মেয়েরা খুঁজে খুঁজে ফ্রেন্ড রিকুয়েস্ট পাঠায় আর মেসেজ দিয়ে ডিস্টার্ব করে! জ্বালা!!,Non-Political Statement
তুমি কি বোকাচোদা না এটেনশন সিকার ?,Non-Political Statement
আজকের ক্রিকেট ম্যাচে টিম ম্যানেজমেন্টের ভুল সিদ্ধান্ত আমাকে খুব রাগিয়ে দিয়েছে!,Non-Political Statement
ভাই আপনার সঠিক সুন্দর আলোচনার জন্য অনেক অনেক ধন্যবাদ।,Non-Political Statement
"আজকের ক্রিকেট ম্যাচে আমাদের ব্যাটসম্যানরা ভালো খেলেও, শেষ পর্যন্ত হারতে হলো, এটা খুব দুঃখজনক!",Non-Political Statement
কন্ঠরোধের সর্বোচ্চ মাত্রায় সরকার! আর কতভাবে তারা জনগণকে চেপে রাখতে চায়?,Political statement
আলহামদুলিল্লাহ...মুক্তি পেয়েছেন প্রিয় দেশনেত্রী বেগম খালেদা জিয়া।,Political statement
"তয় বোন সকালে অফিসে বসে তোর উপর ক্রাশ খাইছিলাম, পরে তোর এই স্ট্যাটাস দেখে ক্রাশ ছুটে গেছে, এখন বুঝলাম তুই একটা বলদ বোইন।।",Non-Political Statement
তুই কোন চ্যটের বাল ! মুসলিম নাম ব্যবহার কেন করিস ? আগে মর তারপর বুঝবি ইহকাল কি আর পরকাল কি।,Non-Political Statement
এরা সবাই নাস্তিক,Non-Political Statement
ব্যবসা মন্দা চেহারা দেখেই বোঝা যাচ্ছে।,Non-Political Statement
দেশরত্ন ❤❤,Political statement
আওয়ামীলিগ জিতে জাবে,Political statement
তুমি আমার কথা কেন বুঝতে চাও না? খুব রাগ হচ্ছে!,Non-Political Statement
মনে হয় আমি সবচেয়ে একা মানুষ কারো কাছেই আমার কোনো মূল্য নেই।,Non-Political Statement
কখনওই সত্ত্য হতে পারে নাআল্লাহ যারা এইটা মিথ্যা অপপ্রচার করছে।তাদের হেদায়েত করুন,Political statement
এসব সব ভুয়া রেকড,Political statement
"ব্রাদার আগে শ্রমিকের বেতন পরিশোধ করেন, আপনাকে দেশের জন্য ভালোবাসি এবং বাসবো,, গত ২৪ ঘন্টায় আক্রান্ত ৪৩৪ জন,  মৃত্যু ৯ জন।",Non-Political Statement
খুবই সুন্দর লাগছে।,Non-Political Statement
