text,region
আমরা বলি একটু সময় নেওনের লাইজ্ঞা আর উনার বউরে নিয়া আননের লাইজ্ঞা,Mymensingh
মন ভালা করতে তোমরা কিতা কর?,Mymensingh
তোঁয়াত্তুন মনে হইলে না গরি দ গই,Chittagong
বউর ধারনা জামাইর হরকিয়া আছে,Noakhali
যতবার দেই ততবার ভালা লাগে মৌসুমিরে এই গানে ভালা লাগের,Noakhali
তুমিতাইন কিতা সাঁতার জানো নি?,Sylhet
তোংগোর হরীক্কা কবে,Noakhali
তুই সুদানির ফুয়া এত ঘুমোদ্দে কিল্লায়,Chittagong
মুই এখটা ফুড়ি,Sylhet
কিতা করতাসুইন আফনে এহন?,Mymensingh
আম্নেগো অযোগ্য সন্তান,Barishal 
মুই গল্পের বই কিনমু,Barishal 
শেষ বল-ও ছক্কা মারিয়া বাংলাদেশ জিতি গেলো,Sylhet
মাঝদ্দি ঝগড়া অইতো আবার সেই দিনত থিক অই যাইতো,Chittagong
এইয়া না যে মুই দ্যাখতে অসুন্দর,Barishal 
যেকোন সমত মোকাবেলা গরন যাই,Chittagong
এইবার কোরবানি তে লাল গরু কিনমু,Barishal 
শীতকাইল্লা সকাল ম্যালা সুন্দর,Barishal 
পোলা এক মাস আগে বাংলাদেশে আসে এই ঈদে তারার বিয়া হওয়ার কথা,Mymensingh
আমনের লইজ্ঞা শুভকামনা রইল,Barishal 
আমি ফুটবল ম্যাচ-ও থাকতাম চাই,Sylhet
মুই ফুটবল খ্যালতে মোর দোস্তগো লগে যাইতেয়াছি,Barishal 
খেউরু লাগি খেউরুর জীবন থামিয়া থাকে না,Sylhet
আদুনিক সভ্যতারে বিজ্ঞান উপহার দিছে যেল কিছু ,Noakhali
তুই  কি রাতিয়াত বাইর হইবা নে ?,Chittagong
আর বিয়া অইয়ে চাইর বছর।,Chittagong
এহন নানার বাড়িতই থাহি,Mymensingh
অনে এক্কান সাহাইয্য ফাইতে লাইজ্ঞন গুলুশর হাসত্তুন,Chittagong
"লবন ছাড়া তরকারি যেমন স্বাদহীন, বিশ্বাস ছাড়া সম্পর্কও তেমন মূল্যহীন",Mymensingh
আর সহ্য গরিত নো ফারি ওনরের কাছে সঠিক পরামর্শ চাইর,Chittagong
হ্যার মইধ্যে মাইয়াডা হ্যার পরিবারের পছন্দে বিয়া করে,Barishal 
আমার বাসার ওবায় রাস্তার ধারো একটা ফুল ওর দোকান,Sylhet
বেডাডা ফোনে কথা কইতেয়াছে,Barishal 
ফত্তেকবার ভাবতাম হে ভালা অই গেছে,Sylhet
হগলডির ভাষা এক রহমের না,Barishal 
তোমার লগে আর জরুরি কতা আছে,Noakhali
ঐ বেডি আর হেতে মিলি আরে গালিগালাজ কইরতে থায়,Noakhali
তোয়ার কতা হুনি ভালা লাইগল,Noakhali
আমার ইস্কুলে অনেক বন্ধু আসে,Mymensingh
লাতিয়া হাসফাতালত আইতে সাইলাম ইয়ানতও বাধা,Chittagong
আই ঠিকই কইছি,Noakhali
সকাইলকু পড়লে আমি আরামে মনোযোগ দিতাম ফারি,Sylhet
মেলাদিন আর মন খুব খারাপ আছিলো,Noakhali
ভিডিও বানানির কী দরকার আছিলো?,Noakhali
আঁরা এক্কা সময় লইতো হয়্যি আর ইবার বউওরে লয় আইত,Chittagong
আরা ফারিবারিকরহারনে ১ বছরর লাই এহন নিজ বাড়িত্তুন আন্য জায়গাত আসি,Chittagong
আমার বিয়া হইসে ৯ বছর,Mymensingh
আমি এক সন্ধ্যায় অফিস থাইক্কা বাসায় ফিরা দেখবাম তুমি আসো সত্যিই তুমি আসো,Mymensingh
তোমারে কাছে আই জড়াই ধরন বাকি,Noakhali
"বেহেই যহন পড়তে বয়, আমি তহন ঘুমাই",Mymensingh
নিজে অশুকি থাই আরেজ্ঞারে ভালা ভাশন যায় না,Noakhali
আঁরে ওজ্ঞা বই উফাহর দিও,Chittagong
রান্নাঘরোত আই ফাগ গরি্র,Chittagong
সে তোরে কিছু ঊফহার দিয়ে না?,Chittagong
মোর দোস্ত ত্যায় মোরে বেমালা ভালোবাসে,Barishal 
তয় মুই নিজে দ্যাখছি অয় মোর মায়রে কত ভালোপায়,Barishal 
কাউরে মিথ্যা কয়া খুশী কইরবার চেয়ে সত্যি কয়া কাঁনদানো ভালা,Mymensingh
"যেদিন বৃষ্টি হইসে, হেইদিন বারান্দার গাছে পানি দেওনের দরকার নাই",Mymensingh
মৌসুমী আফারে কইছি এইরহম এউক্কা ছবি মোগো আবার উপহার দেন,Barishal 
মুই তান লগে আস্তা রাইত জাগিয়া জোনে মাততাম,Sylhet
ছোডোরা এমন অনেক কাম করে জিগিন মুরগবিরা হছন্দ করে না,Noakhali
এই বাইচ্চাগা অনেক অসুস্থ ,Noakhali
ক্লাসের সব মাইয়াদের সাথেই মিশতাম,Mymensingh
দয়া কইরা পরিচয় গোপন রাখবাইন,Mymensingh
নিল আসসান অর নিচে তোঁয়ার আত দরি আইটত চায়,Chittagong
তোঁয়ার ইক্কা চাই তাক্কি,Chittagong
এত্তে ডাহদ্দি ওজ্ঞা ইয়াল যার,Chittagong
আমার আব্বা বাইচ্চা নেই,Mymensingh
একটা ছোট্ট গ্রামে একজন মাইয়া আসিল,Mymensingh
বিয়ার ফর মোটা অইব এন সফ্ন লই বাচি আচে আযারো লেডা মাইফোয়া,Chittagong
আমি সাগর পাড়ি দিয়াম,Mymensingh
আইও বুঝি তুই বহুত হস্ট গর,Chittagong
জামরুল আর ফ্রিও ফল,Chittagong
আমি বাক্কা লাম্বা,Sylhet
বিসনাত শুয়া টিভি দেখতাসিলাম,Mymensingh
আইজগা আই ছাতা আইনতো ভুলি গেছি,Noakhali
ফুয়ায় বাংলাদেশো আইয়া বিয়া ঠিক করছে,Sylhet
তুমিতাইন কোন বিষয়-ও পড়রায়?,Sylhet
কয়ডা দিন অপেক্ষা কর,Barishal 
মা কিছু অইলেই আরে মাইর ধইর করে,Noakhali
আমার ছোট বইন ইস্কুলে যাইতে চায় না,Mymensingh
সর্দি হইলে গরম রং চা খাইলে ভালা লাগে,Mymensingh
এমনে নানা রকম ঝামেলা হইতে থাহে,Mymensingh
তুমি যাওয়ার পর থাকি তুমার ফুড়ি কিলান জানি নিরাই অই গেছে,Sylhet
বউত তুন তুয়ায়রে বেশী সুন্দর লাগিলে কিন্তু সমস্যা,Chittagong
আই দেখেছি বেক সময় এরুম কাম করেন যেডার লাই হেতোনের হোলা অনেক রাগ করেন,Noakhali
এউক্কা মাইয়া ছউজ্ঞা পোলার লগে প্রেম করতেয়াছে,Barishal 
যতদিন পৃথিবীর বুকে বাংলাদেশ নামডা থাকব ততদিন পর্যন্ত এই গানডা চলতে থাকব,Mymensingh
স্টোররুমগা কাচরা অই রাইছে,Noakhali
তুমিতাইন কিতা রাত্রে খাইছো নি?,Sylhet
এডে এদুন অন্যায় গরিবার ফরো আর বাবা আর ঐ বেডীর মিলি বউত গম আছে,Chittagong
বহুত ভালা ছবি,Sylhet
এহন তুমি মোর ধারে মাফ চাও,Barishal 
আমনেরা কন এহন মুই আসলে করমু কি?,Barishal 
ভালোবাসা মানে কাউরে জেতা না উলডা নিজেই কারো লইজ্ঞা ঠইগা যাওয়া,Barishal 
আখতা করি সামনের ফুরিগু থমকি গেছে,Sylhet
তুমারে দেকিয়া ভেমটালা লাগিয়া উবাই রইছলাম,Sylhet
কি ছিলাম আর কি হইলাম,Mymensingh
তাইন মোর লগে দেখা করলা ,Sylhet
হের প্রিয় একটা বই হারায়া গেসে,Mymensingh
আই নাকি বেইমান,Chittagong
বাক্কা বউত বার তারে সুযোগ দেওয়া ওয়,Sylhet
মানুষের বিবেকবুদ্ধি কতটা খারাপ অইতে হারে,Noakhali
বুদ্ধি ফাকাইয়েরে  তইলে ফন্না গিলি,Chittagong
এহন আঁই হত্ত বর অই গেইয়্যি গই,Chittagong
সেইদিন কতাগা কইছিলাম তোয়ার ভালার লাই,Noakhali
এই ফিতিবিত আঁই খুব একা,Chittagong
পুরনো দিনের কথা মনে পরে গেলো রে,Noakhali
হে রাগি গেছিল,Sylhet
আমি চাইতাসি আলাদা বাসায় চইল্লা যায়াম আমরা,Mymensingh
তোমার মাইয়া আমার কোলে আই সুদু তোমারে খুঁজে মনে হয়,Noakhali
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আসি,Mymensingh
আঁর এফফোডাও গম ন লার,Chittagong
কেন্নে করি এতো ভালা মেকআপ করো ,Noakhali
ক্যাচাল থাইমলো না,Noakhali
কিন্তু পোলা বাংলাদেশে আওনের পর ওই মাইয়াডার লগে যোগাযোগ বন্ধ কইরা দেয়,Mymensingh
আফনারে দেখিয়া অসুস্থ লাগরো,Sylhet
আই তোয়ার লগে পিথিবি ঘুইরতাম চাই,Noakhali
লও দুইজন মিল্লা সুখের পীরথিবী সাজাই,Barishal 
পানির অভাব আর বালা লাগের না,Sylhet
বহুদিন ধরি হিয়ান খোলা অয় না,Noakhali
কেরোসিন তেলের দিন দিন দাম বাড়তাসে,Mymensingh
শুধু গানডা যেমন অসিলো তেমনই রইয়া গেসে,Mymensingh
ওউ ছবির ফত্তেকটা গান বাক্কা ভালা লাগতো আর এখনো লাগে,Sylhet
তুমিতাইন দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,Sylhet
উপহার দিতে বউত ওর বালা লাগে,Sylhet
প্রথমবার ঠকার পর একটা ভয় ঢুইক্কা গেসিলো ভিতরে,Mymensingh
মুই কি একছের মোডা?,Barishal 
"যে বছর ধান ভালা অয়, হে বছর আমের হলনও ভালা অয়",Noakhali
এহোতুন নানার বাসাত তাকি,Chittagong
আর  স্বামী মদ খাইয়েরে ফ্রতি রাতোত আড্ডা দে,Chittagong
এককতাত আন্নেরে অনেক সুন্দর লাগের,Noakhali
 কারোনছাড়া ঘরেরভিত্তে মোমবাতি জালাই বই রইছি,Noakhali
লাল রঙের শারিতে তোমারে ভালো মানাইবে,Barishal 
জাম্বুরা ঠান্ড সর্দির লাই খাইলে ভালা হল পাওন যায়,Noakhali
আই একজন ২৩ বছরর মাইয়ে ফোয়া,Chittagong
যিবনত্তুন রং আযি গেয়্যুই,Chittagong
আমার মা বেগ কাম একলা করসে,Mymensingh
তয় বাচাইন্না যায়নাই,Barishal 
হগল কাম তো আউলাঝাউলা হইতেয়াছে না,Barishal 
কেক এর উপর লেয়া আছিলো শুভ জন্মদিন আর বউ,Noakhali
আত্তুন বিদ্যালয়অত যাইত বউত বালা লাগে,Chittagong
শইষ্যার তেল দি ঝালমুড়ি বানাও ,Noakhali
কারেন্ট সমস্যার কিতা সমাধান ওই গেছে নি?,Sylhet
আই ইজ্ঞা বই হরিয়ের,Noakhali
ওকগা হোড়াবাড়ি আছে,Noakhali
কিরকেট খ্যালা তোমার ক্যামন লাগে?,Barishal 
আর বাসার ডাহরদি এক্কান ফুলোর দোহান,Chittagong
বাংলাদেশ এ আরে সবাই আর ডাক নামে চিনে,Noakhali
লবন ছাড়া তারকারি যেইক্কান স্বাদহীন বিশ্বাস ছাড়া সম্পর্ক হেক্কান মূ্ল্যহীন,Noakhali
তোয়ার বন্দুরা সত্যি খুব ভালা মানুষ ,Noakhali
তারার অনুমতির অফেক্ষা খরা লাগের,Sylhet
আই আর বিষয়কান সাইডে রাহিয়েরে তারে সান্তনা দোন ফোরের,Chittagong
"এই রহম ত্যাল মোরে দেবা না, বিরক্ত লাগে",Barishal 
বালবাসা ফাইবারতুন বরা বালবাসা দিয়ায় বেশি আনন্দ,Chittagong
ইগিন দেই ও বেকে না দেনের ভান করে,Noakhali
চলো তে গুড্ডি উড়াই,Sylhet
আরে নো ডাইক্কো,Chittagong
আমি বেগসময় আমার গ্রামের মানুষরার পাশে থাকতে চাই,Mymensingh
অয় ঠিকই কইছে,Barishal 
হিয়ান তুন বড্ডা আপা কিছু হেয়ারা কিনলো,Noakhali
"যৌবন আওয়ার আগেউ তারে ভালাপাইছলাম, আরখবার যৌবন হেষ অওয়ার বাদেও তারেউ ভালাপাইমু",Sylhet
হকলতা হুনিয়াউ আমি কইলাম,Sylhet
রুমি ভাইয়া আবার ফিরে আইয়ছে নতুন গান লই,Noakhali
আমার নীল আকাশ দেখতে অনেক ভালা লাগে,Mymensingh
আমি টুকটাক অনলাইনে কাম করি ,Mymensingh
তুউই আমার সাথে আর কথা বলবা না ,Noakhali
হেয় দেখতে মেলা সুন্দর,Mymensingh
তুই কি আরে গুরিবিল্লে লই যাইবা না?,Chittagong
আঁর বালোবাসায় হম কি আচিল,Chittagong
আই ৪ মাস আগে হরিবারের হছন্দে বিয়া কইরছি,Noakhali
বই ইহেন ফোন গিয়ে,Chittagong
আর বেয়াক ফোয়া মাইয়া লাইন ধরিয়েরে তিয়াই গিয়ি,Chittagong
আঁর জিবনত হনো সফ্ন নাই তুঁই চারা,Chittagong
দ্বিতীয়  বিয়াতে আমি কল্পনার চেয়েও বেশি সুখী,Mymensingh
মুই ঠিক আছি,Barishal 
তুমিতাইন ওর ক্রিকেট খেলা কিলা লাগে?,Sylhet
আমাত হাত-ও বেদনা করের,Sylhet
মুই বোলে মরলে হ্যার এউক্কা আফসোস থাকবে খালি মুই বোলে হ্যারে বুঝিনাই কহনো,Barishal 
গুডায়ান দেইবার অফেক্কার লাই বই তাইক্কি,Chittagong
এমন কি আমার আব্বা আম্মা সামনে আইলে সালাম পর্যন্ত দেয়না,Mymensingh
ভাত বাঙালি বহুকালোর ফ্রিয় হানা,Chittagong
মুই ধারে বহাইয়া কইছি যে এই কামের লইজ্ঞা মোর খারাপ লাগছে,Barishal 
তুই আমার লগে থাকতে চাস ?,Mymensingh
যত তাড়াতাড়ি সম্ভব বিয়ার ব্যবস্থা করো,Noakhali
 আমার খিদা পাইসে,Mymensingh
আযিয়া বউত মযা অইয়্যে,Chittagong
তুমি কিতা খরো?,Sylhet
তুঁই বিয়া গরিবা হতো বছর বয়সত?,Chittagong
আই বিশ্বাস গরি হনইক্কে যদি আরে নিজের ডইল্লে চায় তাইলে বানাইত্তারিবো,Chittagong
তুমি কি মোরে ভালোবাসো না?,Barishal 
আমার হইলদা রঙ ভালা লাগে,Sylhet
পোরথমে আমনেরে এউক্কা দোকানে যাইতে হইবে,Barishal 
ছোট বাচ্চারা গ্রামের বাড়ীর উঠানে খেলতাসে,Mymensingh
মোর  কুনো ভাই নাই মুই বড় ফুড়ি ,Sylhet
আইজ কোন খেলা ওইতো নায়,Sylhet
তুঁই ন কা বুযো,Chittagong
আই হেরে কোনোদিন হেতার কোনো কাম লই খোডা দি ন,Noakhali
শেষ বলে ছয় মাইরা বাংলাদেশ জিত্তা গেল,Mymensingh
 আর অউ বৎসর তাইন মোরে বাক্কা বড় খরি সারপ্রাইজ দিছইন,Sylhet
হের লাইজ্ঞা আমি বেগ কিসু করতাম ফারি,Mymensingh
অনে নিজে কিছু এক্কা গরন,Chittagong
"যতবার দেহি ততবার গম লাগে, মৌসুমিরে গান্নানঅত অসম্বব সুন্দর লাগের",Chittagong
মোর ইসকুলে যাইতে বেমালা ভালো লাগে,Barishal 
বাসাত ফুয়া আছিল আর তার পরিবারর হখল সদস্যরা আছলা,Sylhet
এই গান গুলা নিয়া মেলা আবেগ আসে,Mymensingh
আমার লগে নাচবায় নি?,Sylhet
খাওনের মইধ্যে রসুন আরেক্কানা বাড়াই দিলে খাওন বেশি স্বাদ অইলো ও ,Noakhali
আর আর বাইচতে মন চায়না জানেন নি,Noakhali
হ্যায় মোরে এউক্কা উপহার দেছে,Barishal 
তারার বাগান অইন্যরার বাগান ওর লাকান নায়,Sylhet
মাইয়াডা দ্যাখতে যথেষ্ট সুন্দরী,Barishal 
আমার খালামণির দুইগু ফুয়া আছে,Sylhet
আঁর ফোয়ারে তোঁয়ার হনো সম্ফর্ক নাই,Chittagong
আই সকালত ফড়তে বইসসি,Chittagong
ডিসেম্বর মাসে হেয় হের পরিবাররে জানায় আমার কথা,Mymensingh
মোর আব্বা আম্মাও ইকান লইয়া খুব খষ্ট পাইরা ,Sylhet
আই তোয়ার লগে রাইতকা সাগর হাড়ে দাড়াই থাইঅতাম চাই,Noakhali
মাইয়াগা হেতির লগে ঘটি যাওয়া ঘটনা বেগগিন হোলার হরিবাররে জানায়,Noakhali
তুই আর লগে কি ছবি ত্যুইলতে হ্যাইরবি ?,Noakhali
"টেলিভিশনে কথা হুনা যায়, ছবিও দেহা যায়",Mymensingh
এরহর তুন হেতেরা দোনোগা সবজি বাগানে যাই হেড ভৌরি খানা খাইতো,Noakhali
অবশ্যই আন্নে নিয়মিত নামাজ হড়ি আল্লার কাছে শান্তি চাই দোয়া কইরতে হারেন,Noakhali
সাদা বোলে আমগাছের সবুজ পাতা ঢাইক্কা গ্যাছে,Barishal 
যেহেতু বেজ্ঞুন এডে আচে আঁরার শুরু গরা উচিত,Chittagong
এই শুক্কুরবারে হেতার বিয়া হেতার হরিবারের হছন্দ করি রাখছে মাইয়া,Noakhali
তিশার লাও সিন্দুক খুইল্লি,Chittagong
বাংলাদেশের শীতকালডা লাউ চাষের লাইজ্ঞা বেশি উপযোগী,Mymensingh
তোমার মন চাইলে জাইয়া না করো,Barishal 
আর ফোন নাম্বার ব্লক গরি দিয়ি,Chittagong
কিন্তু কিছু মানষ মেলা ভালো,Noakhali
এইডা জরুলি না হগল সময় হগল কিছু অপর জন করবে,Barishal 
তুই কি লাতিয়া হাইয়ো না?,Chittagong
ইতার কতা বার্তা ঠিক নাই ,Chittagong
জাইল্লারা মাছ ধরতেয়াছে,Barishal 
তারা আফনারে কিলা চাইন তারার লাখান অওয়ার চেষ্টা খরইন,Sylhet
আই ওকগা মাইয়া বয়স ২৩ বছর,Noakhali
তয় মুই তো তোমার লগে যামু না,Barishal 
আর এই বছরত যেই বিশাল গরিয়েরে সারপ্রাইজ দিয়ে আরে,Chittagong
আরে দেহিয়েরে অসুখ বলি মনে অর,Chittagong
"যেই ভালোবাসা যতো গোপন, হেই ভালোবাসা হ্যাতো গভীর",Barishal 
বাবার হাছে আর মায়োর নামোত বউত উল্ডা ফাল্ডা হতা কইয়্যে,Chittagong
আবার দেখা অইব,Noakhali
বালবাসা মানি হনিকারে জয় গরা নয় বরং নিজেই হনিকার লাই আরি জন,Chittagong
তুমি বোঝো না ক্যা?,Barishal 
আরেকদিকে এত অন্যায় করনের পরেও আমার আব্বা আর ঐ বেডি অনেক সুখে আসেন,Mymensingh
মোরে ঢোকতে দেন,Barishal 
ইখটা হয়তো কেউ বুজতো ফারের না মুই ছাড়া,Sylhet
আইজ্জা আর মন ভালা নাই,Noakhali
কিন্তু মাইয়ার পরিবার রাজি নো ,Noakhali
সন্ধ্যায় আমার মা আয়া আমারে অভিযোগ দিলো আমার আব্বার লগে ঝগড়া হইসে আবার,Mymensingh
আফনের কিতা মন খারাপ?,Mymensingh
অনেকবার বেহেই কথা কইসে বুঝাইতে চাইসে যে কি সমস্যা কিন্তু কোনো সমাধান হয়নাই,Mymensingh
এখটা ফুড়ির বিয়া দেওয়ার বাদে কিতা পরিবারর প্রতি তার কুনো দায়িত্ব থাকতো ফারে নানি?,Sylhet
"আর যদি ফিরা না আসে,তবে সে কখনই তোমার ছিল না",Mymensingh
হৌরবাড়ি মোর জামাইর কুনতা নাই কারণ তার মা নাই ,Sylhet
হ্যায় ভালো মনের মানু,Barishal 
বেবাক মিলাইয়া হ্যার বেমালা মজা হইতেয়াছেলে,Barishal 
বিয়ার সময় কইছিলো বরের বাড়ি আছে,Noakhali
মার কথা হুইন্না আব্বা হাসলেন,Mymensingh
বিয়ার সময় কইসিল বরের বাড়ি আসে,Mymensingh
আমার হয়া প্রতিবাদ করে আরো কত গুন,Mymensingh
হ্যায় মোর চোখের বায়ড়ায় গ্যাছে,Barishal 
তেতুল খাইলে রক্ত পানি হয়া যায়,Mymensingh
আমি কোনদিন চিন্তাও করি নাই আমার মাইয়া তার মায়ের আদর ভালোবাসা ছাড়া বড় হইব বাসার কামের মানুষের কাছে,Mymensingh
হালিয়াত্তুন ফইত্ত বইস্সম,Chittagong
অসুখে হেতনে কয়েক বছর ভুইগছিলেন,Noakhali
মোর বিয়ার বয়স ২২ মাস,Barishal 
হে গান গাইতো বালা ফায়,Sylhet
আই হাশে বইয়াই কইছি যে এই কামের লাই আর খারাপ লাগছে,Noakhali
তুমি কিতা করো?,Mymensingh
ইতে বিয়া গরি সুকি অইত চায়,Chittagong
আমি নিজে মেলা অসুস্থ,Mymensingh
 ফুড়ির আম্মায় অতা জানিয়াউ বিয়া দিছইন,Sylhet
আযিয়া আর মন বালা নাই?,Chittagong
হগলডিরে কয় ইদানিং মোর পোলা পাল্ডাইয়া গ্যাছে,Barishal 
 আফনে এখটা সাহায্য পাইড়া পুলিশর ধার থাকি,Sylhet
মা মরি যাওনের হর বাপে খুব একলা অই গেছে,Noakhali
এউক্কা পোলা এউক্কা বিছনা গোনে আর এউক্কা বিছানায় লাপ দেতেয়াছে,Barishal 
"ভাল মানু বোলে বেশি দিন বাঁচে না, এইডা হোনার পর বেমালা টেনশনে আছি",Barishal 
আর ইচ্ছা আই ভাইবগুম ,Noakhali
মা ঝারু দিয়া ঘরডা পরিষ্কার করতাসে,Mymensingh
আর স্বামী বাসাত কিছু আইনলে বেকের লাই লই আনে,Noakhali
মুই আফেল পছন্দ করি,Barishal 
তুমি দুফারে কিদ্যা ভাত খাইছেলা?,Barishal 
আই জানি না কেন্নে শুরু কইরগুম,Noakhali
পলাউগ্গা মাইআউগ্গারে আহন ভালপাঔআর ছহে দেহেনাই,Barishal 
"রইদও জ্বলিয়া রঙ টিকে, আর পাকনা ওই ওগুরে",Sylhet
আম্নে ম্যালা ভাল মানু,Barishal 
তোমারে ছাড়া একটুও আমার ভালালাগেনা,Mymensingh
ওনরে হোন ফাডাইয়ে',Chittagong
বিয়ার ১ বৎসর ফরেও তারার ফুড়ি অইছে,Sylhet
আরে ব্লক করি দেয় বেক জায়গার তুন,Noakhali
ইইত্তিদিন ঘুমাইবার আগে মনে মনে ভাবি যাই হোক বিয়া কইরবার আরুগ্গা দিন  আগাই আইছে,Noakhali
মোগো হগল বাড়ি জুইররা আব্বা একলা দুজ্ঞা তিউনগা কামের লোক আছে লগে,Barishal 
এখন হে মোরে কয় তার লাইফ থাকি যাইতাম গিয়া,Sylhet
ফুয়াাটায় তার গাউর ছুটো এখটা ইস্কুল থাকি পড়িয়া এসএসসি পাশ খরছে,Sylhet
হউ ফুয়া কুনতা হুনতো চায় না তাইর লগে দেখা করতো চায়,Sylhet
আঁর বাসার দারোয়ান এহন ইতার গেরামত বেরাইত গেয়্যে,Chittagong
আন্নের দুই দিকেই জ্বালা অইছে,Noakhali
এরম মানু কহনো ঠিক হয় না।,Barishal 
বাবু খাইছো কওয়ার মানুডা নাই দেইখ্যা আইজও মুই এত হুগনা,Barishal 
ছোড বেলায় তেতুলই খাইতো নিষেধ করে নো এইককান কাউরে মনে হয় না খুজি হাওন যাইভো,Noakhali
তুঁই কি গরো?,Chittagong
এইজ্ঞো বিড়াল দরজাত বোই আছে,Chittagong
মোর বয়স উন্নিশ বত্‌শর ,Sylhet
মুই এউক্কা প্রফেশনাল ব্লোগার হইয়া কাম করতেয়াছি,Barishal 
তোয়ার মূইল্যবান বক্তিব্যর লাই তোয়ারে মেলা ধন্যবাদ ,Noakhali
আমারে দয়া করিয়া ভালা উপায় দেখাইয়া সাহায্য করোইন,Sylhet
যিবনঅত উন্নতি গইর ত গেইলে বউত সময় বউত বাঁদার মুঁকে ফরা ফরে,Chittagong
মোরা বিয়ার পরে গোনে ভিন্ন থাহি,Barishal 
দাদু নারিকেলর ফানি ফসন্দ গরে,Chittagong
আব্বারে হাস্পাতালে দেইক্ষা বেমালা খারাপ লাগছে,Barishal 
বৃষ্টির দিনে কিতা বারান্দার গাছে পানি দেওনের দরকার আসে?,Mymensingh
প্রেম করে বিয়ে কিন্তু পারিবারিক ভাবেই হয়েছে,Noakhali
হালিয়া আরার বাসাত মেহমান আইবো,Chittagong
যখন ছেড়ি বুঝে তখন ছেড়াবুঝেনা !,Mymensingh
আম্নে আম্নের পরিবার লইয়া মোগো বাড়ি আইবেন,Barishal 
কি অইবো হেতার লাই কাঁদি?,Noakhali
তুমি কোন বিষয় লইয়া পড়াশুনা করতেয়াছো?,Barishal 
অনে কি এই বইওয়া ফরিত ফার অন?,Chittagong
 আমরা হখলে ঢাকা থাকি,Sylhet
তারে আমি কয়া নিসিলাম যে আমার তোমারে বিশ্বাস করতে সময় লাগব,Mymensingh
কেলাস নাইনে মোগো পোরথোম কথা হয় ফেসবুকে,Barishal 
আমি সকাল ৮ টাই ডিউটিতে চইল্লা যাই,Mymensingh
খেউরে তুমার মাত হুনাইতে অইলে আগে তুমি তার মাত হুনো,Sylhet
বিয়ার কালে কইছেলে জামাইর বাড়ি আছে,Barishal 
তুই আঁর লাই হনো সুন্দর উফার কিনিত ফারিবি নে?,Chittagong
এর মাঝে ফুড়ি ইগু তাইর পরিবারর পছন্দে বিয়া খরি লাইছে,Sylhet
মোর পরিবারর অর্থনৈতিক অবস্থা অখন খুব মান্দা,Sylhet
কারোর লাই করোর জীবন থামি থাকে না ,Noakhali
হের কাছে বেক দেশের টেয়া আছে,Noakhali
ধানখেত হার অইতেই ওকগা বড্ডা হুইর,Noakhali
হনো কলম দিয়া কিতা জানি লেখিয়া রাখের,Sylhet
ফুটবলে তোংগ প্রিয়দল কোনআন,Noakhali
সামনের দিনে মোর পোলা মাইয়া যহন এইসব গান দ্যাখবে হ্যার আব্বা কতো রোমান্টিক আল্লেহ,Barishal 
এহন বারতে বারতে টিভি দ্যাহা যায়,Barishal 
আর হাই মদ খায় রাইতের পর রাইত বন্ধুগো লগে আড্ডা দেয়,Noakhali
ওখন তুমিতাইন গান গাইতে ফারতায় নায়,Sylhet
হেতারে আই কই নিছিলাম যে আর তোয়ারে বিশ্বাস কইরতে সময় লাইগবো,Noakhali
তুমিহীন সময়ডা নিজেরার মতো কইরা গুছায়া নেওয়ার চেষ্টা করতাসি,Mymensingh
এটা হুনি আব্বা রাগি ফোন কাডি দিছে,Noakhali
গানডা হুইন্না আমার অনেক ভালা লাগসে,Mymensingh
 পাকগরো খে উবানি?,Sylhet
ইয়ার মাঝদ্দি এক্কান দূর ঘটনা গটি গিল,Chittagong
আই এককান খুব বড্ডা সমস্যাত হইড়ছি দয়া করি কেউ হাসাহাসি কইরবেন না,Noakhali
হেইডা একধরনের যোগাযোগ,Mymensingh
অনে নিজে কিছু গরিবার চেস্টা গরিবান যেন ফরিবারর সাহাইয্য  অয়,Chittagong
মোর কালা জামা আছে,Barishal 
একবার ধইল্লে আত ছাইডদোনো কোনসুমে রোগা হাতলা মাইয়া গুন দেইকলে মনে কয় এগগা ভিটামিন এর বতল কিনি দি,Noakhali
আমার আম্মায় আমারে কইছলা বিয়া অইলে জীবন বদলি যায়,Sylhet
তুই আমার লাগি কুন্তা লেখতে ফারবে নি?,Sylhet
মায়ের ধারে ছোডো পোলাই সব,Barishal 
আমি গনিতে অনার্স করতাসিলাম,Mymensingh
মোর নৌকায় ঘোরতে বেমালা ভাল লাগে,Barishal 
 আই জামাই ফর ফর ৩ বছর আর জন্মদিন মনত নো রাহে,Chittagong
গানডা হুনলেই পুরান ইতিহাস মনে ফড়ে,Mymensingh
আন্নে ঘুম তুন উইডতে চান না,Noakhali
আঁই ডাহার মিরফুর তাকি,Chittagong
আফনে নিজর পরিবার লইয়া বইন ,Sylhet
ফুটবলত তোঁয়ারার প্রিয় দল হন্নান?,Chittagong
যদি আঁই বুল গরি তইলে দয়া গরি আঁরে শুদরাই দিয়ন,Chittagong
মোর লগে বাদুয়া ব্যবহার খরতে থাকলো,Sylhet
